76,0.294,0.957
77,0.273,0.964
78,0.252,0.971
79,0.230,0.977
80,0.209,0.982
81,0.188,0.987
82,0.167,0.992
83,0.146,0.995
84,0.125,0.998
85,0.104,1.000
86,0.083,1.002
87,0.062,1.002
88,0.041,1.002
89,0.021,1.002
90,0.000,1.000
91,-0.020,0.998
92,-0.041,0.994
93,-0.061,0.990
94,-0.081,0.986
95,-0.100,0.980
96,-0.120,0.974
97,-0.140,0.968
98,-0.159,0.961
99,-0.178,0.953
100,-0.197,0.944
101,-0.215,0.935
102,-0.233,0.926
103,-0.252,0.916
104,-0.269,0.906
105,-0.287,0.895
106,-0.304,0.884
107,-0.321,0.873
108,-0.338,0.861
109,-0.354,0.849
110,-0.370,0.837
111,-0.386,0.824
112,-0.401,0.812
113,-0.416,0.799
114,-0.430,0.786
115,-0.445,0.773
116,-0.458,0.760
117,-0.472,0.747
118,-0.485,0.734
119,-0.497,0.721
120,-0.509,0.707
121,-0.521,0.694
122,-0.532,0.681
123,-0.543,0.669
124,-0.553,0.656
125,-0.562,0.644
126,-0.572,0.631
127,-0.580,0.619
128,-0.588,0.608
129,-0.596,0.596
130,-0.603,0.585
131,-0.609,0.575
132,-0.615,0.564
133,-0.620,0.554
134,-0.625,0.545
135,-0.629,0.536
136,-0.633,0.528
137,-0.635,0.520
138,-0.638,0.513
139,-0.639,0.506
140,-0.640,0.500
141,-0.640,0.495
142,-0.640,0.490
143,-0.638,0.486
144,-0.637,0.482
145,-0.634,0.479
146,-0.630,0.477
147,-0.626,0.475
148,-0.621,0.473
149,-0.616,0.472
150,-0.609,0.472
151,-0.602,0.471
152,-0.594,0.471
153,-0.585,0.472
154,-0.576,0.472
155,-0.565,0.473
156,-0.554,0.474
157,-0.542,0.476
158,-0.529,0.477
159,-0.515,0.479
160,-0.500,0.481
161,-0.484,0.483
162,-0.468,0.485
163,-0.450,0.487
164,-0.432,0.489
165,-0.412,0.491
166,-0.392,0.493
167,-0.371,0.495
168,-0.348,0.497
169,-0.325,0.498
170,-0.301,0.500
171,-0.275,0.501
172,-0.249,0.502
173,-0.222,0.503
174,-0.193,0.504
175,-0.164,0.504
176,-0.133,0.504
177,-0.101,0.504
178,-0.069,0.503
179,-0.035,0.502
